player,"player_
cards",banker,"banker_
cards",final,advice,"big_eye_
banker",small_banker,"cockroach_
banker",big_eye_player,small_player,cockroach_player
8,"9,4,6",5,"K,J,K",3,閒,blue,blue,blue,red,red,red
5,"9,6,4",6,"K,3,9",1,莊,red,blue,red,blue,red,blue
8,,1,,7,閒,blue,blue,blue,red,red,red
7,,4,,3,閒,藍,藍,藍,紅,紅,紅
2,,8,,6,莊,紅,紅,藍,藍,藍,紅
5,,8,,3,莊,藍,藍,藍,紅,紅,紅
6,,9,,3,莊,紅,紅,紅,藍,藍,藍
6,,9,,3,莊,紅,紅,紅,藍,藍,藍
7,,8,,1,莊,紅,紅,紅,藍,藍,藍
7,,7,,0,和,紅,紅,紅,藍,藍,藍
0,,8,,8,莊,紅,紅,紅,藍,藍,藍
2,,0,,2,閒,紅,紅,紅,藍,藍,藍
4,,2,,2,閒,藍,紅,紅,紅,藍,藍
6,,4,,2,閒,藍,藍,藍,紅,紅,紅
2,,9,,7,莊,藍,藍,藍,紅,紅,紅
7,,6,,1,閒,紅,紅,藍,藍,藍,紅
7,,1,,6,閒,紅,藍,藍,藍,紅,紅
9,,4,,5,閒,藍,藍,藍,紅,紅,紅
9,,4,,5,閒,藍,紅,藍,紅,藍,紅
4,,1,,3,閒,藍,藍,藍,紅,紅,紅
3,,0,,3,閒,藍,藍,藍,紅,紅,紅
8,,0,,8,閒,藍,藍,紅,紅,紅,藍
2,,0,,2,閒,藍,藍,藍,紅,紅,紅
8,,2,,6,閒,藍,藍,藍,紅,紅,紅
,,,,,,,,,,,
9,,0,,9,閒,紅,紅,紅,藍,藍,藍
9,,0,,9,閒,藍,紅,紅,紅,藍,藍
6,,9,,3,莊,藍,藍,藍,紅,紅,紅
0,,7,,7,莊,紅,紅,藍,藍,藍,紅
4,,9,,5,莊,藍,紅,紅,紅,藍,藍
9,,0,,9,閒,紅,藍,紅,藍,紅,藍
3,,8,,5,莊,藍,藍,藍,紅,紅,紅
1,,9,,8,莊,藍,紅,紅,紅,藍,藍
0,,3,,3,莊,紅,紅,藍,藍,藍,紅
2,,4,,2,莊,紅,藍,紅,藍,紅,藍
9,,4,,5,閒,紅,紅,紅,藍,藍,藍
2,,7,,5,莊,藍,紅,藍,紅,藍,紅
9,,4,,5,閒,藍,紅,藍,紅,藍,紅
7,,6,,1,閒,紅,紅,藍,藍,藍,紅
7,,2,,5,閒,藍,藍,藍,紅,紅,紅
0,,4,,4,莊,藍,藍,藍,紅,紅,紅
0,,9,,9,莊,紅,藍,藍,藍,紅,紅
1,,1,,0,和,紅,紅,紅,藍,藍,藍
5,,5,,0,和,紅,紅,紅,藍,藍,藍
7,,0,,7,閒,紅,紅,紅,藍,藍,藍
9,,3,,6,閒,藍,藍,紅,紅,紅,藍
1,,4,,3,莊,紅,藍,藍,藍,紅,紅
6,,7,,1,莊,紅,紅,紅,藍,藍,藍
6,,6,,0,和,藍,藍,紅,紅,紅,藍
2,,1,,1,閒,藍,藍,紅,紅,紅,藍
8,,7,,1,閒,藍,藍,藍,紅,紅,紅
7,,9,,2,莊,紅,紅,紅,藍,藍,藍
7,,9,,2,莊,紅,紅,紅,藍,藍,藍
8,,2,,6,閒,藍,藍,藍,紅,紅,紅
8,,5,,3,閒,藍,藍,藍,紅,紅,紅
6,,9,,3,莊,紅,紅,紅,藍,藍,藍
6,,6,,0,和,紅,紅,紅,藍,藍,藍
4,,0,,4,閒,紅,紅,紅,藍,藍,藍
9,,5,,4,閒,紅,藍,藍,藍,紅,紅
9,,7,,2,閒,藍,紅,紅,紅,藍,藍
7,,5,,2,閒,藍,藍,藍,紅,紅,紅
8,,7,,1,閒,,,,,,
2,,5,,3,莊,,,,,,
7,,3,,4,閒,紅,,,藍,,
8,,3,,5,閒,紅,藍,,藍,紅,
6,,6,,0,和,藍,紅,,紅,藍,
9,,5,,4,閒,藍,紅,,紅,藍,
5,,8,,3,莊,藍,藍,,紅,紅,
7,,3,,4,閒,紅,藍,紅,藍,紅,藍
5,,9,,4,莊,紅,藍,紅,藍,紅,藍
4,,0,,4,閒,藍,藍,紅,紅,紅,藍
3,,2,,1,閒,紅,紅,紅,藍,藍,藍
2,,6,,4,莊,藍,藍,藍,紅,紅,紅
1,,8,,7,莊,紅,藍,藍,藍,紅,紅
6,,5,,1,閒,藍,紅,紅,紅,藍,藍
2,,5,,3,莊,藍,藍,紅,紅,紅,藍
1,,9,,8,莊,藍,紅,紅,紅,藍,藍
3,,5,,2,莊,紅,藍,藍,藍,紅,紅
6,,7,,1,莊,紅,紅,紅,藍,藍,藍
1,,5,,4,莊,紅,紅,紅,藍,藍,藍
4,,9,,5,莊,紅,紅,紅,藍,藍,藍
7,,4,,3,閒,紅,紅,紅,藍,藍,藍
6,,6,,0,和,藍,紅,藍,紅,藍,紅
1,,5,,4,莊,藍,紅,藍,紅,藍,紅
6,,6,,0,和,藍,紅,藍,紅,藍,紅
0,,2,,2,莊,藍,紅,藍,紅,藍,紅
4,,3,,1,閒,紅,紅,紅,藍,藍,藍
8,,3,,5,閒,藍,紅,藍,紅,藍,紅
2,,7,,5,莊,紅,藍,藍,藍,紅,紅
2,,0,,2,閒,紅,紅,藍,藍,藍,紅
8,,7,,1,閒,紅,藍,藍,藍,紅,紅
4,,8,,4,莊,藍,紅,紅,紅,藍,藍
9,,8,,1,閒,紅,藍,紅,藍,紅,藍
4,,7,,3,莊,紅,藍,紅,藍,紅,藍
3,,8,,5,莊,藍,藍,紅,紅,紅,藍
8,,4,,4,閒,紅,紅,藍,藍,藍,紅
9,,4,,5,閒,藍,紅,紅,紅,藍,藍
8,,2,,6,閒,,,,,,
6,,0,,6,閒,,,,,,
0,,7,,7,莊,,,,,,
4,,4,,0,和,紅,,,藍,藍,
6,,6,,0,和,紅,,,藍,藍,
9,,7,,2,閒,紅,,,藍,藍,
7,,5,,2,閒,紅,藍,,藍,藍,
9,,0,,9,閒,藍,藍,,紅,紅,
9,,5,,4,閒,藍,紅,,紅,紅,
8,,1,,7,閒,藍,藍,,紅,紅,
9,,4,,5,閒,藍,藍,,紅,紅,
2,,1,,1,閒,藍,藍,,紅,紅,
8,,8,,0,和,藍,藍,,紅,紅,
9,,5,,4,閒,藍,藍,,紅,紅,
2,,4,,2,莊,藍,藍,,紅,紅,
7,,6,,1,閒,紅,藍,紅,藍,藍,藍
8,,6,,2,閒,紅,藍,紅,藍,藍,藍
0,,1,,1,莊,藍,藍,藍,紅,紅,紅
5,,7,,2,莊,紅,藍,紅,藍,藍,藍
1,,5,,4,莊,藍,紅,紅,紅,紅,藍
7,,9,,2,莊,紅,紅,紅,藍,藍,藍
6,,3,,3,閒,紅,紅,紅,藍,藍,藍
3,,3,,0,和,藍,藍,紅,紅,紅,藍
4,,6,,2,莊,藍,藍,紅,紅,紅,藍
0,,1,,1,莊,藍,紅,紅,紅,紅,藍
7,,7,,0,和,紅,紅,藍,藍,藍,紅
7,,9,,2,莊,紅,紅,藍,藍,藍,紅
0,,8,,8,莊,紅,紅,紅,藍,藍,藍
2,,9,,7,莊,紅,藍,紅,藍,藍,藍
3,,7,,4,莊,紅,紅,紅,藍,藍,藍
9,,6,,3,閒,紅,紅,紅,藍,藍,藍
4,,4,,0,和,藍,紅,藍,紅,紅,紅
5,,5,,0,和,藍,紅,藍,紅,紅,紅
9,,7,,2,閒,藍,紅,藍,紅,紅,紅
4,,0,,4,閒,藍,藍,藍,紅,紅,紅
7,,1,,6,閒,藍,藍,藍,紅,紅,紅
8,,7,,1,閒,藍,藍,紅,紅,紅,藍
2,,6,,4,莊,藍,藍,藍,紅,紅,紅
5,,7,,2,莊,紅,紅,藍,藍,藍,紅
9,,6,,3,閒,紅,紅,紅,藍,藍,藍
5,,1,,4,閒,藍,藍,藍,紅,紅,紅
3,,7,,4,莊,紅,藍,藍,藍,藍,紅
5,,8,,3,莊,紅,紅,紅,藍,藍,藍
6,,6,,0,和,藍,藍,紅,紅,紅,藍
9,,1,,8,閒,藍,藍,紅,紅,紅,藍
1,,4,,3,莊,藍,藍,藍,紅,紅,紅
9,,2,,7,閒,藍,紅,紅,紅,紅,藍
6,,3,,3,閒,紅,紅,藍,藍,藍,紅
3,,2,,1,閒,藍,藍,紅,紅,紅,藍
5,,8,,3,莊,紅,藍,藍,藍,藍,紅
1,,9,,8,莊,藍,藍,紅,紅,紅,藍
3,,6,,3,莊,紅,紅,紅,藍,藍,藍
3,,6,,3,莊,紅,紅,紅,藍,藍,藍
0,,9,,9,莊,紅,紅,紅,藍,藍,藍
5,,5,,0,和,紅,紅,紅,藍,藍,藍
8,,9,,1,莊,紅,紅,紅,藍,藍,藍
4,,7,,3,莊,紅,紅,紅,藍,藍,藍
2,,6,,4,莊,紅,紅,紅,藍,藍,藍
5,,1,,4,閒,紅,紅,紅,藍,藍,藍
0,,7,,7,莊,藍,紅,紅,紅,紅,藍
2,,9,,7,莊,藍,紅,藍,紅,紅,紅
5,,9,,4,莊,紅,紅,紅,藍,藍,藍
1,,9,,8,莊,紅,紅,紅,藍,藍,藍
8,,8,,0,和,紅,紅,紅,藍,藍,藍
4,,8,,4,莊,紅,紅,紅,藍,藍,藍
6,,6,,0,和,紅,紅,紅,藍,藍,藍
1,,8,,7,莊,紅,紅,紅,藍,藍,藍
3,,8,,5,莊,紅,紅,紅,藍,藍,藍
9,,3,,6,閒,紅,紅,紅,藍,藍,藍
1,,1,,0,和,藍,紅,藍,紅,紅,紅
7,,8,,1,莊,藍,紅,藍,紅,紅,紅
9,,2,,7,閒,藍,,,紅,紅,
9,,5,,4,閒,藍,,,紅,紅,
6,,3,,3,閒,藍,,,紅,紅,
1,,9,,8,莊,藍,,,紅,紅,
6,,5,,1,閒,紅,紅,,藍,藍,
9,,8,,1,閒,紅,藍,藍,藍,藍,紅
7,,6,,1,閒,藍,藍,藍,紅,紅,紅
9,,5,,4,閒,藍,藍,紅,紅,紅,藍
9,,8,,1,閒,藍,紅,紅,紅,紅,藍
8,,5,,3,閒,紅,紅,藍,藍,藍,紅
6,,4,,2,閒,藍,藍,紅,紅,紅,藍
0,,1,,1,莊,藍,藍,藍,紅,紅,紅
0,,8,,8,莊,紅,藍,藍,藍,藍,紅
9,,2,,7,閒,紅,紅,紅,藍,藍,藍
9,,6,,3,閒,藍,藍,紅,紅,紅,藍
9,,3,,6,閒,紅,藍,藍,藍,藍,紅
2,,6,,4,莊,藍,紅,藍,紅,紅,紅
3,,5,,2,莊,紅,紅,紅,藍,藍,藍
3,,6,,3,莊,藍,藍,藍,紅,紅,紅
